monthly_txn_count,avg_txn_amount,cross_border_ratio,cash_deposit_ratio,account_age_months,risk_score,risk_level,txn_amount_segment,border_activity,deposit_behavior,customer_profile
122,940.2424124,0.688499901,0.411255117,74,54.37874428,Medium,Medium,High,Balanced,Medium risk | Medium txn | High border
199,475.9588526,0.058193596,0.777602284,67,38.46909187,Medium,Small,Low,Cash Heavy,Medium risk | Small txn | Low border
112,862.1943983,0.915213728,0.480370082,83,58.22041958,High,Medium,High,Balanced,High risk | Medium txn | High border
34,1772.396505,0.44235223,0.985286051,122,63.85257802,High,Large,Moderate,Cash Heavy,High risk | Large txn | Moderate border
126,682.472791,0.239787359,0.37673897,125,30.6032376,Low,Medium,Low,Balanced,Low risk | Medium txn | Low border
91,288.0715117,0.09387329,0.7495783,142,34.04606027,Low,Small,Low,Cash Heavy,Low risk | Small txn | Low border
208,744.7807843,0.182865997,0.392989449,167,22.43190885,Low,Medium,Low,Balanced,Low risk | Medium txn | Low border
40,1818.315461,0.934613997,0.829164221,81,85.3228616,High,Large,High,Cash Heavy,High risk | Large txn | High border
122,580.6578863,0.638270594,0.569081469,40,59.26680177,High,Small,Moderate,Balanced,High risk | Small txn | Moderate border
141,1312.995735,0.516696257,0.06351183,6,39.98014961,Medium,Large,Moderate,Mostly Digital,Medium risk | Large txn | Moderate border
230,51.01473514,0.657111329,0.036821868,45,39.12122625,Medium,Small,Moderate,Mostly Digital,Medium risk | Small txn | Moderate border
234,737.5092699,0.435672899,0.133852119,69,43.07028914,Medium,Medium,Moderate,Mostly Digital,Medium risk | Medium txn | Moderate border
94,644.3234534,0.730039317,0.013671965,155,28.29046853,Low,Small,High,Mostly Digital,Low risk | Small txn | High border
222,371.0789136,0.047716128,0.07535906,65,19.74114124,Low,Small,Low,Mostly Digital,Low risk | Small txn | Low border
107,1091.474368,0.56603721,0.691714397,69,53.03339859,Medium,Medium,Moderate,Cash Heavy,Medium risk | Medium txn | Moderate border
136,995.4184442,0.158646448,0.534346275,98,48.58391142,Medium,Medium,Low,Balanced,Medium risk | Medium txn | Low border
119,1400.250264,0.120164648,0.749910749,77,54.30567734,Medium,Large,Low,Cash Heavy,Medium risk | Large txn | Low border
123,575.3540509,0.341879667,0.913165752,16,58.82301838,High,Small,Moderate,Cash Heavy,High risk | Small txn | Moderate border
171,526.0447684,0.091799066,0.585149532,110,37.52073746,Medium,Small,Low,Balanced,Medium risk | Small txn | Low border
150,378.1675322,0.094156988,0.726120844,19,32.52576982,Low,Small,Low,Cash Heavy,Low risk | Small txn | Low border
169,476.5902282,0.311413309,0.757081202,65,44.62274797,Medium,Small,Low,Cash Heavy,Medium risk | Small txn | Low border
72,1138.298904,0.979510529,0.377850549,35,67.2604886,High,Medium,High,Balanced,High risk | Medium txn | High border
21,837.4805336,0.17533027,0.241084832,40,18.29524921,Low,Medium,Low,Mostly Digital,Low risk | Medium txn | Low border
107,176.5398819,0.017161102,0.205045329,170,11.99986216,Low,Small,Low,Mostly Digital,Low risk | Small txn | Low border
177,545.1350572,0.763364423,0.25144244,10,53.63921466,Medium,Small,High,Mostly Digital,Medium risk | Small txn | High border
57,531.4083225,0.806912977,0.274731797,88,41.36726992,Medium,Small,High,Mostly Digital,Medium risk | Small txn | High border
149,1407.793332,0.346304321,0.207227649,128,47.49304228,Medium,Large,Moderate,Mostly Digital,Medium risk | Large txn | Moderate border
211,1438.92765,0.464673813,0.878220667,83,74.75433145,High,Large,Moderate,Cash Heavy,High risk | Large txn | Moderate border
207,338.7695134,0.649773683,0.756999132,159,53.55376907,Medium,Small,Moderate,Cash Heavy,Medium risk | Small txn | Moderate border
40,1995.593946,0.048058924,0.046896468,67,38.43503225,Medium,Large,Low,Mostly Digital,Medium risk | Large txn | Low border
180,570.2229778,0.949145732,0.268672482,137,50.63494069,Medium,Small,High,Mostly Digital,Medium risk | Small txn | High border
223,1954.399164,0.886680387,0.022184742,94,77.1240976,High,Large,High,Mostly Digital,High risk | Large txn | High border
77,851.522176,0.260893623,0.498165187,47,41.13374541,Medium,Medium,Low,Balanced,Medium risk | Medium txn | Low border
41,114.4489292,0.01530454,0.476210697,94,11.18992807,Low,Small,Low,Balanced,Low risk | Small txn | Low border
